Span,10KCS1,10KCS2,10KCS3,12KCS1,12KCS2,12KCS3,14KCS1,14KCS2,14KCS3,16KCS2,16KCS3,16KCS4,16KCS5,18KCS2,18KCS3,18KCS4,18KCS5,20KCS2,20KCS3,20KCS4,20KCS5,22KCS2,22KCS3,22KCS4,22KCS5,24KCS2,24KCS3,24KCS4,24KCS5,26KCS2,26KCS3,26KCS4,26KCS5,28KCS2,28KCS3,28KCS4,28KCS5,30KCS3,30KCS4,30KCS5,
0,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
1,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
2,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
3,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
4,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
5,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
6,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
7,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
8,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
9,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
10,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
11,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
12,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
13,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
14,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
15,510,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
16,448,550,550,544,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
17,397,519,550,482,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
18,354,463,550,430,550,550,508,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
19,318,416,547,386,506,550,456,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
20,287,375,493,348,457,550,412,540,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
21,260,340,447,316,414,547,373,490,550,528,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
22,237,310,408,288,377,499,340,446,550,481,550,550,550,544,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
23,217,284,373,263,345,456,311,408,539,440,550,550,550,498,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
24,199,260,343,242,317,419,286,375,495,404,544,550,550,457,550,550,550,512,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
25,183,240,316,223,292,386,263,346,457,372,501,550,550,421,550,550,550,471,550,550,550,521,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
26,170,222,292,206,270,357,244,320,422,344,464,550,550,390,525,550,550,436,550,550,550,481,550,550,550,527,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
27,157,206,271,191,251,331,226,296,391,319,430,550,550,361,487,550,550,404,544,550,550,446,550,550,550,488,550,550,550,530,550,550,550,550,550,550,550,550,550,550,
28,146,191,252,178,233,308,210,276,364,297,400,550,550,336,452,550,550,376,506,550,550,415,550,550,550,454,550,550,550,493,550,550,550,532,550,550,550,550,550,550,
29,136,178,235,166,217,287,196,257,339,277,373,550,550,313,422,550,550,350,472,550,550,387,522,550,550,423,550,550,550,460,550,550,550,496,550,550,550,550,550,550,
30,127,167,219,155,203,268,183,240,317,259,348,533,550,293,394,550,550,327,441,550,550,361,487,550,550,396,533,550,550,430,550,550,550,464,550,550,550,550,550,550,
31,119,156,205,145,190,251,171,225,297,242,326,499,550,274,369,550,550,307,413,550,550,339,456,550,550,370,499,550,550,402,543,550,550,434,550,550,550,550,550,550,
32,112,146,193,136,178,236,161,211,279,227,306,469,550,257,346,532,550,288,387,550,550,318,428,550,550,348,469,550,550,378,510,550,550,408,550,550,550,550,550,550,
33,105,138,181,128,168,222,151,198,262,214,288,441,550,242,326,500,550,271,364,550,550,299,403,550,550,327,441,550,550,355,479,550,550,383,518,550,550,550,550,550,
34,99,130,171,121,158,209,142,187,247,201,271,415,539,228,307,471,550,255,343,527,550,281,379,550,550,308,415,550,550,334,452,550,550,361,488,550,550,524,550,550,
35,94,122,161,114,149,197,134,176,233,190,256,392,508,215,290,445,550,241,324,497,550,266,358,550,550,291,392,550,550,316,426,550,550,341,460,550,550,494,550,550,
36,88,116,152,108,141,186,127,167,220,180,242,370,480,203,274,420,546,227,306,470,550,251,338,521,550,275,370,550,550,298,403,550,550,322,435,550,550,467,550,550,
37,84,110,144,102,133,176,120,158,208,170,229,351,455,192,259,398,517,215,290,445,550,238,320,493,550,260,351,540,550,282,381,550,550,305,412,550,550,442,550,550,
38,79,104,137,96,127,167,114,150,198,161,217,332,431,182,246,377,490,204,275,422,550,225,304,467,550,247,332,512,550,268,361,550,550,289,391,550,550,419,550,550,
39,75,99,130,92,120,159,108,142,188,153,206,316,409,173,233,358,465,194,261,401,522,214,288,444,550,234,316,486,550,254,343,529,550,274,371,550,550,398,550,550,
40,72,94,123,87,114,151,103,135,178,145,196,300,389,165,222,340,443,184,248,381,496,203,274,422,550,223,300,462,550,242,326,503,550,261,353,543,550,378,550,550,
41,68,89,117,83,109,144,98,128,170,138,186,286,370,157,211,324,421,175,236,362,472,194,261,401,523,212,286,439,550,230,311,478,550,248,336,517,550,360,550,550,
42,65,85,112,79,104,137,93,122,162,132,178,272,353,149,201,309,401,167,225,345,450,184,249,382,498,202,272,419,547,219,296,456,550,237,320,492,550,343,529,550,
43,62,81,107,75,99,131,89,117,154,126,169,260,337,142,192,295,383,159,215,330,429,176,237,365,476,193,260,399,522,209,282,435,550,226,305,470,550,327,505,550,
44,59,77,102,72,94,125,85,112,147,120,162,248,322,136,183,281,366,152,205,315,410,168,227,348,454,184,248,382,499,200,270,415,543,216,291,449,550,313,482,550,
45,57,74,97,69,90,119,81,107,141,115,155,237,307,130,175,269,350,146,196,301,392,161,217,333,434,176,237,365,477,191,258,397,519,206,279,429,550,299,461,550,
46,54,71,93,66,86,114,78,102,135,110,148,227,294,124,168,257,335,139,187,288,375,154,207,319,416,168,227,349,456,183,247,380,497,197,267,411,537,286,441,550,
47,52,68,89,63,83,109,75,98,129,105,142,217,282,119,161,247,321,133,180,276,359,147,199,305,398,161,217,334,437,175,236,364,476,189,255,393,514,274,423,550,
48,50,65,86,60,79,105,71,94,124,101,136,208,270,114,154,236,307,128,172,264,345,141,190,293,382,155,208,321,419,168,227,349,456,181,245,377,493,263,405,530,
49,48,62,82,58,76,101,69,90,119,97,131,200,259,110,148,227,295,123,165,254,331,135,183,281,366,148,200,308,402,161,217,335,438,174,235,362,473,252,389,509,
50,46,60,79,56,73,97,66,86,114,93,125,192,249,105,142,218,283,118,159,244,318,130,175,270,352,142,192,295,386,155,209,322,420,167,226,347,454,242,373,489,
51,44,58,76,54,70,93,63,83,110,89,120,185,239,101,136,209,272,113,153,234,305,125,169,259,338,137,185,284,371,149,201,309,404,160,217,334,437,233,359,470,
52,42,55,73,52,68,89,61,80,106,86,116,178,230,97,131,201,262,109,147,225,294,120,162,250,325,132,178,273,357,143,193,297,389,154,209,321,420,224,345,452,
53,41,53,70,50,65,86,59,77,102,83,112,171,222,94,126,194,252,105,141,217,283,116,156,240,313,127,171,263,344,138,186,286,374,149,201,309,404,215,332,435,
54,39,51,68,48,63,83,56,74,98,80,107,165,214,90,122,187,243,101,136,209,272,112,150,231,302,122,165,253,331,133,179,276,360,143,193,298,390,208,320,419,
55,38,50,65,46,60,80,54,71,94,77,104,159,206,87,117,180,234,97,131,201,262,108,145,223,291,118,159,244,319,128,173,266,347,138,186,287,376,200,309,404,
56,37,48,63,44,58,77,53,69,91,74,100,153,199,84,113,174,226,94,126,194,253,104,140,215,280,114,153,236,308,123,166,256,335,133,180,277,362,193,298,390,
57,35,46,61,43,56,74,51,66,88,72,96,148,192,81,109,168,218,91,122,188,244,100,135,208,271,110,148,227,297,119,161,247,323,128,174,267,350,186,287,376,
58,34,45,59,41,54,72,49,64,85,69,93,143,185,78,105,162,210,88,118,181,236,97,130,201,261,106,143,220,287,115,155,239,312,124,168,258,338,180,277,363,
59,33,43,57,40,52,69,47,62,82,67,90,138,179,76,102,156,203,85,114,175,228,93,126,194,253,102,138,212,277,111,150,231,302,120,162,250,326,174,268,351,
60,32,42,55,39,51,67,46,60,79,65,87,133,173,73,99,151,197,82,110,169,221,90,122,187,244,99,133,205,268,107,145,223,292,116,157,241,316,168,259,339,
